RecordedDate,condition,choiceDV,surprise,focus,rep_surp,age,gender,gender_3_TEXT
9/22/21 18:45,3,1,3,2,6,46,1,
9/22/21 18:45,3,2,8,1,6,31,0,
9/22/21 18:47,3,1,5,-4,7,29,0,
9/22/21 18:47,3,1,9,-4,7,57,0,
9/22/21 18:49,3,1,3,4,6,51,0,
9/22/21 18:50,3,1,1,2,1,49,0,
9/22/21 18:51,3,1,2,2,6,47,0,
9/22/21 18:53,3,1,1,-1,7,44,0,
9/22/21 18:53,3,1,1,-3,4,66,0,
9/22/21 18:54,3,1,3,3,7,28,1,
9/22/21 18:56,3,1,5,0,4,30,1,
9/22/21 18:57,3,1,1,4,7,58,0,
9/22/21 18:59,3,2,9,0,7,39,0,
9/22/21 19:02,3,1,8,4,6,41,1,
9/22/21 19:02,3,1,1,3,7,38,0,
9/22/21 19:05,3,1,4,1,5,37,1,
9/22/21 19:08,3,2,8,3,7,28,1,
9/22/21 19:08,3,1,1,4,7,53,0,
9/22/21 19:10,3,1,1,-4,7,41,0,
9/22/21 19:10,3,1,1,-4,1,30,0,
9/22/21 19:13,3,1,1,-1,7,27,0,
9/22/21 19:15,3,1,1,-3,7,37,0,
9/22/21 19:19,3,1,6,-4,7,50,0,
9/22/21 19:19,3,1,1,1,7,28,1,
9/22/21 19:21,3,1,4,2,7,37,0,
9/22/21 19:22,3,1,3,-3,5,42,1,
9/22/21 19:24,3,1,2,0,7,27,0,
9/22/21 19:25,3,1,1,4,7,60,0,
9/22/21 19:28,3,1,1,-4,7,48,0,
9/22/21 19:28,3,1,2,-4,7,27,0,
9/22/21 19:29,3,1,7,-1,5,26,0,
9/22/21 19:31,3,1,2,-2,7,50,1,
9/22/21 19:34,3,2,6,2,7,49,0,
9/22/21 19:36,3,1,1,1,7,46,1,
9/22/21 19:44,3,1,6,-3,7,43,0,
9/22/21 19:44,3,1,1,4,6,55,0,
9/22/21 19:45,3,1,5,0,4,22,1,
9/22/21 19:47,3,1,3,-2,7,83,1,
9/22/21 19:49,3,1,1,-3,7,56,0,
9/22/21 19:49,3,1,1,-4,7,61,0,
9/22/21 19:49,3,1,1,-4,7,38,0,
9/22/21 19:54,3,1,3,-3,7,60,0,
9/22/21 19:55,3,1,5,-2,6,32,0,
9/22/21 20:02,3,1,9,4,7,28,0,
9/22/21 20:02,3,1,8,4,4,34,1,
9/22/21 20:07,3,1,3,2,3,28,1,
9/22/21 20:11,3,1,3,-1,7,25,1,
9/22/21 20:11,3,1,5,-4,6,62,0,
9/22/21 20:15,3,2,9,1,7,18,2,
9/22/21 20:16,3,2,6,2,7,28,0,
9/22/21 20:18,3,1,7,-2,7,28,0,
9/22/21 20:18,3,1,3,-4,7,21,2,
9/22/21 20:19,3,1,6,3,3,30,1,
9/22/21 20:21,3,2,5,2,6,29,1,
9/22/21 20:25,3,1,1,-4,7,35,0,
9/22/21 20:26,3,1,1,-4,7,51,1,
9/22/21 20:32,3,1,2,4,7,40,1,
9/22/21 22:13,3,,,,,,,
9/22/21 22:23,3,2,8,2,,,,
9/22/21 22:35,3,1,1,4,,,,
9/22/21 23:29,3,,,,,,,
9/22/21 23:54,3,,,,,,,
