RecordedDate,Condition,choiceDV,rep_surp,focus_b,focus_w,focus_w.r,FocusIdx,imagery,Fun,Affect,Cognitive,age,gender
9/8/21 21:57,2,2,5,4,3,3,3.5,4,5,4,5,25,1
9/8/21 21:57,2,2,4,3,3,3,3,4,3,3,1,35,0
9/8/21 21:58,2,1,5,3,4,2,2.5,5,1,1,1,35,0
9/8/21 22:00,2,2,5,4,3,3,3.5,4,4,4,2,65,0
9/8/21 22:00,2,2,4,3,4,2,2.5,4,4,3,2,33,0
9/8/21 22:01,2,1,5,1,5,1,1,4,2,1,1,28,1
9/8/21 22:01,2,2,5,5,2,4,4.5,5,4,4,2,49,1
9/8/21 22:06,2,2,5,4,2,4,4,5,5,1,1,32,1
9/8/21 22:08,2,1,4,3,3,3,3,2,3,3,2,23,0
9/8/21 22:10,2,2,4,3,3,3,3,3,3,2,2,29,1
9/8/21 22:13,2,1,3,4,4,2,3,4,4,2,4,46,0
9/8/21 22:15,2,2,5,5,2,4,4.5,4,5,3,4,31,1
9/8/21 22:17,2,1,5,2,5,1,1.5,5,3,2,4,25,0
9/8/21 22:17,2,1,4,2,4,2,2,5,3,3,2,28,0
9/8/21 22:18,2,2,5,5,2,4,4.5,3,4,2,1,32,1
9/8/21 22:19,2,2,4,4,3,3,3.5,4,4,4,3,34,0
9/8/21 22:21,2,1,4,4,4,2,3,4,4,3,3,58,1
9/8/21 22:24,2,1,5,4,2,4,4,3,4,3,1,39,0
9/8/21 22:25,2,2,4,5,5,1,3,5,5,3,3,40,0
9/8/21 23:23,2,1,3,3,5,1,2,4,3,4,4,48,1
9/15/21 21:01,2,,,,,,,,,,,,
9/15/21 21:27,2,2,4,5,2,4,4.5,3,3,3,3,,
9/15/21 21:40,2,1,,,,,,,,,,,
9/15/21 22:17,2,2,4,4,2,4,4,3,,,,,
