RecordedDate,Condition,choiceDV,surprise,focus,rep_surp,focus_b,focus_w,FocusIdx,imagery,Fun,Affect,Cognitive,age,gender
9/20/21 23:44,1,1,2,-2,5,3,4,2.5,4,3,3,2,23,0
9/20/21 23:47,1,2,9,1,5,4,4,3,5,5,2,2,21,0
9/20/21 23:51,1,2,7,1,3,4,2,4,4,4,2,3,32,0
9/20/21 23:52,1,1,1,4,5,1,5,1,2,4,4,3,69,1
9/20/21 20:26,2,2,3,3,3,4,2,4,2,4,3,2,33,1
9/20/21 20:27,2,2,4,0,4,4,1,4.5,1,4,2,4,34,1
9/20/21 20:27,2,2,3,3,2,4,2,4,2,4,2,4,34,1
9/20/21 20:27,2,2,5,4,4,5,2,4.5,5,4,4,4,57,0
9/20/21 20:28,2,1,1,-3,5,2,4,2,5,4,4,1,33,1
9/20/21 20:28,2,1,9,-2,5,1,4,1.5,4,3,2,3,29,1
9/20/21 20:28,2,2,8,4,4,4,3,3.5,4,4,4,4,34,0
9/20/21 20:28,2,1,1,4,5,1,5,1,2,3,1,2,43,0
9/20/21 20:28,2,2,9,0,4,5,2,4.5,4,4,4,4,38,1
9/20/21 20:28,2,2,6,4,4,5,2,4.5,4,4,4,3,33,1
9/20/21 20:30,2,2,1,2,3,5,3,4,5,5,4,4,40,1
9/20/21 20:30,2,2,9,1,5,3,2,3.5,4,4,3,3,35,1
9/20/21 20:31,2,2,1,4,5,5,1,5,5,4,1,1,32,0
9/20/21 20:31,2,1,1,-1,5,3,3,3,5,3,3,4,53,0
9/20/21 20:31,2,2,9,2,4,3,3,3,4,5,1,1,33,0
9/20/21 20:31,2,2,6,2,4,4,3,3.5,4,4,2,2,25,1
9/20/21 20:31,2,1,1,-4,4,4,4,3,3,2,1,2,38,1
9/20/21 20:31,2,1,4,1,3,4,4,3,1,4,4,4,24,0
9/20/21 20:31,2,1,7,2,5,3,3,3,5,4,4,3,55,0
9/20/21 20:32,2,1,2,-3,5,2,4,2,3,2,4,4,49,0
9/20/21 20:32,2,1,1,-4,5,5,5,3,3,3,3,3,24,0
9/20/21 20:32,2,1,1,4,5,2,4,2,3,3,4,4,45,0
9/20/21 20:33,2,2,4,4,5,4,2,4,3,5,3,2,47,0
9/20/21 20:33,2,2,8,4,5,5,1,5,5,5,4,3,55,0
9/20/21 20:34,2,1,1,-4,5,5,4,3.5,5,3,1,4,53,0
9/20/21 20:34,2,2,8,3,5,3,3,3,4,5,3,3,39,1
9/20/21 20:35,2,2,1,0,5,4,1,4.5,1,2,1,5,47,1
9/20/21 20:35,2,1,1,-4,4,4,4,3,3,2,3,2,38,1
9/20/21 20:36,2,1,1,-4,5,3,5,2,3,2,1,2,64,1
9/20/21 20:36,2,1,1,-4,5,2,5,1.5,2,1,3,3,29,0
9/20/21 20:37,2,2,9,4,5,5,2,4.5,2,5,4,2,66,0
9/20/21 20:37,2,2,9,4,5,5,1,5,2,4,3,3,46,0
9/20/21 20:37,2,1,1,3,2,1,5,1,2,2,1,3,61,0
9/20/21 20:37,2,2,3,3,5,4,2,4,2,5,1,2,22,0
9/20/21 20:38,2,2,3,0,5,3,4,2.5,4,5,3,3,44,1
9/20/21 20:38,2,2,9,4,5,5,5,3,5,5,5,5,29,1
9/20/21 20:39,2,1,2,4,5,3,4,2.5,4,4,3,2,36,1
9/20/21 20:39,2,2,9,4,5,5,1,5,5,5,4,4,36,0
9/20/21 20:40,2,1,3,2,4,2,4,2,4,4,4,4,34,1
9/20/21 20:41,2,1,3,-4,3,3,2,3.5,4,3,3,3,58,0
9/20/21 20:41,2,2,7,4,5,4,3,3.5,5,4,4,4,49,0
9/20/21 20:41,2,2,9,4,5,5,2,4.5,5,4,5,5,39,0
9/20/21 20:42,2,1,1,-4,5,2,5,1.5,3,2,2,3,59,1
9/20/21 20:43,2,1,1,-4,5,2,4,2,5,4,2,2,38,0
9/20/21 20:44,2,1,3,-3,4,4,5,2.5,4,3,3,3,52,1
9/20/21 20:44,2,2,8,2,5,5,3,4,4,4,3,2,44,0
9/20/21 20:45,2,1,1,4,5,3,3,3,5,3,4,3,30,0
9/20/21 20:46,2,2,1,4,5,4,2,4,1,3,1,4,60,0
9/20/21 20:46,2,2,3,-4,4,1,5,1,3,1,2,3,53,1
9/20/21 20:47,2,2,7,3,4,3,3,3,4,4,4,2,37,0
9/20/21 20:47,2,1,2,-4,5,5,5,3,5,3,1,1,39,0
9/20/21 20:48,2,2,1,2,3,3,3,3,4,3,2,4,37,1
9/20/21 20:48,2,2,9,2,5,5,3,4,5,5,2,3,27,0
9/20/21 20:48,2,1,1,4,5,3,5,2,4,2,3,4,53,0
9/20/21 20:49,2,1,1,-4,5,3,3,3,3,3,3,3,30,1
9/20/21 20:49,2,2,8,4,4,4,2,4,3,4,3,2,49,1
9/20/21 20:49,2,1,9,-4,5,1,5,1,3,2,2,3,41,1
9/20/21 20:50,2,1,2,-2,4,2,4,2,5,3,4,2,28,0
9/20/21 20:50,2,1,2,-3,4,2,4,2,5,4,3,3,46,0
9/20/21 20:50,2,1,1,-3,5,2,4,2,5,4,1,5,51,1
9/20/21 20:51,2,2,7,4,5,4,4,3,5,5,3,3,36,0
9/20/21 20:51,2,1,2,-1,4,3,3,3,5,4,4,4,43,1
9/20/21 20:51,2,1,1,-3,5,2,4,2,5,4,4,4,43,1
9/20/21 20:53,2,1,7,-1,5,4,3,3.5,5,4,3,4,42,0
9/20/21 20:54,2,2,2,4,5,5,2,4.5,4,4,3,3,33,0
9/20/21 20:54,2,1,1,-2,4,2,4,2,5,2,3,4,39,0
9/20/21 20:55,2,2,5,2,4,4,2,4,4,4,3,3,26,1
9/20/21 20:55,2,1,3,2,2,2,2,3,2,3,3,3,24,1
9/20/21 20:58,2,1,1,4,5,3,5,2,3,4,3,1,41,0
9/20/21 21:00,2,2,6,4,5,4,2,4,4,4,3,4,72,1
9/20/21 21:00,2,2,4,2,5,5,3,4,4,4,2,1,22,1
9/20/21 21:02,2,1,1,-4,3,2,4,2,3,3,4,2,51,0
9/20/21 21:04,2,2,1,0,4,3,3,3,4,4,3,3,26,0
9/20/21 21:04,2,1,1,0,5,1,5,1,5,3,3,3,64,1
9/20/21 21:05,2,1,3,-2,5,3,2,3.5,3,2,2,3,22,1
9/20/21 21:07,2,2,7,3,4,4,3,3.5,3,3,3,2,46,1
9/20/21 21:10,2,1,8,3,4,4,4,3,4,4,4,4,53,0
9/20/21 21:11,2,1,7,2,5,4,4,3,5,5,3,4,19,1
9/20/21 21:12,2,2,9,0,5,5,5,3,5,5,5,1,30,1
9/20/21 21:14,2,1,1,0,4,2,5,1.5,4,3,3,3,37,0
9/20/21 21:17,2,1,1,4,5,3,3,3,3,5,5,5,31,0
9/20/21 21:21,2,2,7,0,5,3,2,3.5,5,5,3,3,31,1
9/20/21 21:27,2,1,1,3,5,3,4,2.5,5,1,3,1,44,1
9/20/21 21:27,2,1,3,-3,5,3,5,2,4,2,4,3,29,0
9/20/21 21:28,2,1,5,-4,5,3,3,3,5,3,3,3,23,1
9/20/21 21:28,2,1,9,-4,5,2,5,1.5,5,1,2,2,32,0
9/20/21 21:32,2,1,2,4,5,5,5,3,4,4,1,1,52,0
9/20/21 21:32,2,1,4,-3,4,2,4,2,4,3,3,3,38,1
9/20/21 21:36,2,2,3,3,4,4,2,4,3,4,2,3,53,1
9/20/21 21:36,2,2,4,3,4,2,4,2,5,4,3,3,35,1
9/20/21 21:37,2,2,9,0,5,5,1,5,5,5,5,5,28,0
9/20/21 21:37,2,1,1,-4,5,1,5,1,4,1,3,1,37,0
9/20/21 21:38,2,1,2,2,5,3,3,3,4,2,1,1,67,0
9/20/21 21:39,2,2,7,1,5,4,4,3,5,4,3,3,66,1
9/20/21 21:39,2,1,5,1,4,5,4,3.5,5,4,4,4,37,1
9/20/21 21:39,2,2,1,2,4,4,3,3.5,2,2,3,3,31,0
9/20/21 21:40,2,1,1,4,5,4,5,2.5,5,3,1,2,63,0
9/20/21 21:41,2,2,1,3,4,4,2,4,3,4,3,4,40,1
9/20/21 21:42,2,1,1,-4,3,2,4,2,1,4,1,2,38,1
9/20/21 21:44,2,1,2,3,3,3,4,2.5,4,3,1,3,64,0
9/20/21 21:45,2,2,1,4,3,4,2,4,1,4,3,2,60,1
9/20/21 21:48,2,1,1,3,4,3,4,2.5,4,1,2,1,54,1
9/20/21 21:50,2,2,9,3,5,5,5,3,5,4,4,5,30,0
9/20/21 21:52,2,1,2,2,5,4,3,3.5,3,5,3,3,36,0
9/20/21 21:52,2,2,9,4,5,5,5,3,5,5,1,5,31,1
