RecordedDate,condition,ChoiceDV,Surprise,focus,representSurp,best,worst,Imagery,fun,Affect,Cognitive,drink,age,gender,FocusIndex
9/21/21 4:07,2,1,3,-3,5,3,4,5,4,3,2,1,53,0,2.5
9/21/21 4:11,2,1,3,-4,5,2,4,5,4,4,4,1,59,0,2
9/21/21 4:11,2,1,9,0,5,2,5,3,4,2,2,1,30,1,1.5
9/21/21 4:14,2,1,1,-3,2,2,5,2,2,3,3,1,57,1,1.5
9/21/21 4:18,2,1,3,-2,5,3,3,4,2,2,3,1,42,0,3
9/21/21 4:25,2,1,5,-2,4,3,2,4,4,1,1,1,50,0,3.5
9/21/21 4:25,2,1,8,3,4,5,4,4,2,5,4,1,40,1,3.5
9/21/21 4:27,2,1,5,-4,1,1,5,5,1,1,3,1,59,0,1
9/21/21 4:32,2,1,2,2,4,3,4,2,3,3,3,1,30,1,2.5
9/21/21 4:33,2,1,1,-3,4,2,5,3,1,2,2,2,41,0,1.5
9/21/21 4:36,2,1,1,4,5,2,4,4,2,2,3,1,64,0,2
9/21/21 4:39,2,1,1,2,3,1,1,3,1,1,1,1,56,0,3
9/21/21 4:43,2,1,5,4,5,1,3,4,2,3,3,1,32,0,2
9/21/21 4:50,2,1,7,-2,5,3,4,5,3,2,2,1,32,1,2.5
9/21/21 4:52,2,1,1,4,5,3,4,3,3,2,3,1,46,1,2.5
9/21/21 4:54,2,1,1,0,3,3,3,3,2,3,3,1,52,1,3
9/21/21 5:00,2,1,5,3,4,4,4,3,3,3,3,1,61,0,3
9/21/21 5:07,2,1,1,-4,5,3,3,5,4,4,3,1,57,0,3
9/21/21 5:08,2,1,3,-2,4,1,5,3,3,1,1,1,57,0,1
9/21/21 5:10,2,1,1,0,3,1,4,3,1,1,1,2,41,1,1.5
9/21/21 5:10,2,1,5,0,4,3,3,3,4,4,4,1,37,1,3
9/21/21 5:14,2,1,1,-2,4,2,4,5,2,3,2,1,61,1,2
9/21/21 5:16,2,1,1,2,3,4,3,1,2,3,3,1,41,0,3.5
9/21/21 5:16,2,1,6,1,4,3,4,4,2,2,2,1,47,1,2.5
9/21/21 5:23,2,1,1,-4,5,1,5,5,1,1,1,1,47,0,1
9/21/21 5:33,2,1,5,-2,4,2,4,3,2,1,1,1,24,1,2
9/21/21 5:41,2,1,3,-4,5,2,5,5,3,3,3,1,46,0,1.5
9/21/21 0:15,2,2,8,3,5,3,3,4,5,1,3,1,33,1,3
9/21/21 0:24,2,2,9,2,5,4,2,4,4,3,1,1,41,0,4
9/21/21 0:28,2,2,7,2,5,3,3,4,5,3,4,1,40,1,3
9/21/21 0:41,2,2,9,2,3,2,5,3,3,3,3,1,24,2,1.5
9/21/21 1:06,2,2,6,2,5,4,3,4,3,3,4,1,46,1,3.5
9/21/21 1:24,2,2,9,2,5,4,3,5,4,3,3,1,46,0,3.5
9/21/21 1:43,2,2,9,4,3,3,1,5,5,3,3,1,32,0,4
9/21/21 1:55,2,2,9,2,5,5,1,5,4,4,4,1,53,1,5
9/21/21 1:56,2,2,9,0,4,4,2,4,4,3,2,1,19,1,4
9/21/21 2:47,2,2,7,4,5,4,3,4,4,3,3,1,40,1,3.5
9/21/21 3:06,2,2,7,0,5,5,5,4,3,3,3,1,22,1,3
9/21/21 3:20,2,2,7,3,5,5,3,4,5,3,2,1,35,1,4
9/21/21 3:22,2,2,7,3,5,4,3,4,3,1,1,1,51,0,3.5
9/21/21 3:34,2,2,8,3,5,4,2,5,4,3,3,1,53,0,4
9/21/21 3:39,2,2,1,0,4,3,3,3,1,1,3,1,36,1,3
9/21/21 3:46,2,2,7,3,5,4,2,4,5,3,4,1,40,1,4
9/21/21 3:49,2,2,7,2,5,3,3,4,4,3,3,1,48,0,3
9/21/21 3:51,2,2,6,2,5,3,3,4,4,3,2,1,36,1,3
9/21/21 3:54,2,2,6,0,5,3,1,4,4,3,3,1,27,1,4
9/21/21 3:56,2,2,7,2,4,4,2,4,4,2,4,1,35,0,4
9/21/21 3:59,2,2,9,4,5,5,2,5,5,3,2,1,50,0,4.5
9/21/21 4:02,2,2,9,1,5,5,3,5,4,3,3,1,28,0,4
9/21/21 4:03,2,2,9,4,5,4,2,5,4,2,2,2,53,0,4
9/21/21 4:04,2,2,1,0,4,4,4,3,4,2,3,1,41,1,3
9/21/21 4:07,2,2,8,3,4,4,2,4,4,4,2,1,34,0,4
9/21/21 4:14,2,2,7,4,5,5,1,3,5,3,3,1,53,0,5
9/21/21 4:16,2,2,1,1,1,5,5,5,1,5,1,1,60,1,3
9/21/21 4:16,2,2,7,2,5,5,1,4,4,2,4,1,41,1,5
9/21/21 4:16,2,2,5,1,3,2,4,4,3,4,2,1,43,0,2
9/21/21 4:19,2,2,8,2,4,4,2,4,4,3,3,1,33,0,4
9/21/21 4:24,2,2,7,0,4,4,3,4,5,4,2,1,48,0,3.5
9/21/21 4:31,2,2,9,4,5,4,1,4,4,2,3,1,41,1,4.5
9/21/21 4:36,2,2,9,4,5,5,1,5,5,4,2,1,41,0,5
9/21/21 4:37,2,2,7,0,5,3,3,4,4,1,1,2,31,0,3
9/21/21 4:42,2,2,7,3,5,3,3,4,4,3,3,1,30,1,3
9/21/21 4:42,2,2,9,4,5,5,1,3,5,3,5,1,34,0,5
9/21/21 4:45,2,2,7,1,4,4,3,3,4,3,3,1,36,1,3.5
9/21/21 4:49,2,2,8,4,4,4,2,4,3,4,4,1,41,1,4
9/21/21 4:55,2,2,7,2,4,4,2,4,3,3,1,2,48,1,4
9/21/21 4:57,2,2,9,4,5,5,1,4,5,3,3,1,36,1,5
9/21/21 5:08,2,2,8,4,5,4,2,5,4,2,4,1,35,1,4
9/21/21 5:15,2,2,9,4,5,5,2,4,5,5,5,1,42,0,4.5
9/21/21 5:16,2,2,7,0,4,3,2,3,4,1,3,1,47,1,3.5
9/21/21 0:16,3,1,7,3,5,1,5,5,3,3,1,1,28,0,1
9/21/21 0:18,3,1,1,4,5,2,4,1,2,1,1,2,33,1,2
9/21/21 0:28,3,1,3,-3,5,2,4,5,4,4,2,1,71,1,2
9/21/21 0:35,3,1,7,4,4,3,4,5,5,3,4,1,36,1,2.5
9/21/21 0:35,3,1,5,1,5,3,4,4,4,4,4,1,48,1,2.5
9/21/21 0:59,3,1,6,1,4,3,3,2,3,2,2,1,23,0,3
9/21/21 1:00,3,1,1,-4,5,4,4,5,5,1,1,2,30,2,3
9/21/21 1:09,3,1,2,4,5,5,5,5,4,4,3,2,45,1,3
9/21/21 1:13,3,1,5,-3,4,2,4,3,3,3,3,2,43,0,2
9/21/21 1:24,3,1,1,0,5,3,3,5,5,3,5,1,29,1,3
9/21/21 1:42,3,1,1,0,5,3,3,3,1,1,1,1,43,0,3
9/21/21 1:56,3,1,5,1,5,5,5,4,3,4,2,2,36,1,3
9/21/21 2:03,3,1,2,4,5,3,3,3,2,3,4,2,36,0,3
9/21/21 2:15,3,1,1,4,5,2,4,5,1,1,3,2,60,0,2
9/21/21 2:24,3,1,2,-4,5,2,4,5,1,1,2,2,39,1,2
9/21/21 2:30,3,1,4,-2,4,2,5,4,4,3,4,2,55,0,1.5
9/21/21 2:44,3,1,2,2,5,3,4,4,4,2,2,1,54,1,2.5
9/21/21 2:49,3,1,2,2,4,3,3,5,4,2,3,1,38,1,3
9/21/21 2:57,3,1,5,1,3,3,3,3,4,4,3,2,31,0,3
9/21/21 3:18,3,1,4,-1,4,3,3,4,3,4,3,2,46,0,3
9/21/21 3:22,3,1,1,2,5,3,3,3,4,3,4,2,40,0,3
9/21/21 3:26,3,1,6,1,4,4,4,4,3,3,3,1,35,0,3
9/21/21 3:28,3,1,4,-3,5,2,4,4,2,3,3,1,39,0,2
9/21/21 3:33,3,1,5,2,3,2,3,4,1,3,4,1,28,0,2.5
9/21/21 3:39,3,1,1,-2,4,3,3,5,5,3,3,1,27,1,3
9/21/21 3:42,3,1,3,4,5,5,3,3,3,1,1,2,26,1,4
9/21/21 3:44,3,1,4,0,2,3,2,2,2,2,4,2,48,1,3.5
9/21/21 3:47,3,1,4,0,3,3,3,3,3,3,3,2,36,0,3
9/21/21 3:48,3,1,6,-1,5,2,4,4,3,3,2,2,31,1,2
9/21/21 3:52,3,1,1,-4,3,1,5,3,1,3,3,2,37,1,1
9/21/21 3:54,3,1,6,-1,4,3,3,4,3,4,4,2,50,0,3
9/21/21 3:55,3,1,5,3,5,3,3,3,3,3,3,1,35,0,3
9/21/21 3:55,3,1,3,-3,4,2,4,5,4,3,2,1,29,1,2
9/21/21 4:00,3,1,1,3,5,4,5,4,4,4,4,2,44,1,2.5
9/21/21 4:03,3,1,1,-4,5,4,2,4,5,4,2,2,48,1,4
9/21/21 4:07,3,1,2,-4,5,3,3,5,5,2,3,2,44,0,3
9/21/21 4:07,3,1,1,3,5,3,3,4,3,2,2,2,42,0,3
9/21/21 4:17,3,1,2,0,2,3,4,3,3,2,4,2,37,0,2.5
9/21/21 4:19,3,1,7,-2,4,3,3,3,4,3,3,2,40,1,3
9/21/21 4:23,3,1,5,2,5,2,3,3,3,3,3,2,38,1,2.5
9/21/21 4:24,3,1,1,-3,5,3,5,3,3,4,3,1,37,1,2
9/21/21 4:25,3,1,1,-4,5,2,5,1,1,2,3,2,33,0,1.5
9/21/21 4:26,3,1,3,2,5,5,5,5,4,3,3,1,59,1,3
9/21/21 4:27,3,1,1,0,5,3,3,5,3,4,4,2,43,1,3
9/21/21 4:30,3,1,1,-4,5,1,5,3,1,3,1,2,40,0,1
9/21/21 4:31,3,1,1,0,1,1,1,5,1,1,1,2,56,1,3
9/21/21 4:33,3,1,1,1,3,3,3,3,3,3,3,2,39,1,3
9/21/21 4:37,3,1,5,3,5,2,5,4,2,3,3,1,29,0,1.5
9/21/21 4:38,3,1,1,4,4,2,4,5,3,3,1,2,61,0,2
9/21/21 4:39,3,1,6,-4,5,5,5,5,4,4,4,1,48,0,3
9/21/21 4:42,3,1,6,1,5,4,3,3,3,3,3,1,27,0,3.5
9/21/21 4:42,3,1,3,0,3,3,3,3,4,3,3,2,24,0,3
9/21/21 4:44,3,1,1,-3,5,2,4,5,2,1,3,,38,0,2
9/21/21 4:45,3,1,3,2,4,2,4,4,4,2,4,1,43,1,2
9/21/21 4:47,3,1,2,-3,4,3,4,4,3,3,3,2,46,1,2.5
9/21/21 4:48,3,1,2,-1,5,2,4,3,3,2,2,2,35,1,2
9/21/21 4:51,3,1,2,-3,5,4,4,4,5,2,3,1,47,0,3
9/21/21 4:52,3,1,1,-4,5,5,5,5,3,3,2,1,43,0,3
9/21/21 4:55,3,1,1,-1,5,3,4,2,3,3,1,2,73,1,2.5
9/21/21 5:00,3,1,2,4,5,2,4,5,4,4,3,1,37,0,2
9/21/21 5:01,3,1,1,-4,4,3,4,4,3,1,4,2,60,0,2.5
9/21/21 5:04,3,1,5,-3,4,2,4,5,3,4,1,2,39,1,2
9/21/21 5:06,3,1,6,0,3,3,3,4,5,4,3,1,39,1,3
9/21/21 5:07,3,1,1,-4,5,2,5,1,2,2,4,2,36,0,1.5
9/21/21 5:09,3,1,1,1,5,2,4,3,3,2,3,2,50,1,2
9/21/21 5:13,3,1,2,0,5,3,3,4,3,4,3,1,34,0,3
9/21/21 5:15,3,1,1,-3,5,3,4,3,4,2,2,2,29,0,2.5
9/21/21 5:15,3,1,6,0,3,2,4,3,2,3,2,2,30,0,2
9/21/21 5:18,3,1,1,-3,4,5,5,5,4,4,4,1,47,1,3
9/21/21 6:27,3,1,7,4,4,5,3,4,4,4,4,1,57,1,4
9/21/21 0:15,3,2,1,2,4,3,2,5,4,3,5,2,45,1,3.5
9/21/21 0:21,3,2,7,1,5,3,3,2,4,4,3,1,30,0,3
9/21/21 0:26,3,2,3,2,4,4,2,4,4,3,3,1,50,1,4
9/21/21 0:42,3,2,5,3,5,5,3,4,5,4,4,1,31,1,4
9/21/21 0:42,3,2,1,4,4,3,3,3,3,3,3,1,22,1,3
9/21/21 1:19,3,2,1,4,5,3,3,5,2,3,3,2,24,1,3
9/21/21 1:45,3,2,8,2,5,4,3,3,4,2,3,1,29,0,3.5
9/21/21 1:56,3,2,8,3,4,4,4,3,5,3,4,1,53,0,3
9/21/21 2:01,3,2,7,2,3,3,3,4,4,2,2,1,50,1,3
9/21/21 2:02,3,2,1,3,5,3,3,4,3,3,2,1,44,0,3
9/21/21 2:17,3,2,7,2,4,4,3,4,3,1,1,2,57,1,3.5
9/21/21 2:40,3,2,7,1,5,2,4,4,4,3,3,1,24,1,2
9/21/21 2:54,3,2,9,0,5,5,3,5,4,2,3,1,33,1,4
9/21/21 3:07,3,2,3,4,4,4,3,4,4,1,2,2,38,1,3.5
9/21/21 3:14,3,2,6,2,4,4,3,3,3,2,3,1,34,1,3.5
9/21/21 3:20,3,2,8,4,5,5,1,3,5,3,4,1,40,0,5
9/21/21 3:44,3,2,6,2,4,4,2,4,4,3,3,2,42,1,4
9/21/21 3:58,3,2,5,4,5,5,3,5,4,3,3,2,20,0,4
9/21/21 4:01,3,2,4,2,5,3,3,4,4,3,2,2,50,1,3
9/21/21 4:01,3,2,5,0,5,4,4,4,4,4,3,2,42,1,3
9/21/21 4:04,3,2,2,3,4,4,3,3,4,3,2,2,44,0,3.5
9/21/21 4:09,3,2,8,2,5,4,2,4,5,3,3,1,39,1,4
9/21/21 4:09,3,2,8,3,5,5,2,5,4,4,2,2,32,1,4.5
9/21/21 4:11,3,2,7,3,5,4,3,4,4,3,3,2,57,0,3.5
9/21/21 4:11,3,2,9,2,5,4,4,5,5,3,4,1,29,0,3
9/21/21 4:13,3,2,7,3,5,4,2,4,4,1,3,1,40,1,4
9/21/21 4:18,3,2,9,4,5,3,3,5,5,3,3,2,69,0,3
9/21/21 4:28,3,2,6,4,5,4,2,5,5,4,4,1,83,1,4
9/21/21 4:35,3,2,9,4,5,3,3,5,5,3,3,2,63,0,3
9/21/21 4:49,3,2,9,1,5,5,2,5,5,5,5,2,58,0,4.5
9/21/21 4:54,3,2,9,0,5,5,1,1,4,3,4,1,28,1,5
9/21/21 5:01,3,2,4,4,5,4,3,3,4,4,4,2,33,1,3.5
9/21/21 5:07,3,2,7,4,4,1,2,3,4,3,2,2,27,1,2.5
9/21/21 5:15,3,2,8,3,4,4,2,4,3,3,3,2,26,0,4
9/21/21 5:30,3,2,3,2,4,3,3,4,3,2,2,2,32,1,3
